""
108,Business Analyst,Employer Provided Salary:$65K - $85K,"Job Description
Works with clients and vendors to research problems, gather requirements, plans solutions, and fulfill ad-hoc data and report requests. This role also recommends applications and systems, coordinates development, assists in testing as well as supports the development of training and implementation material.
Responsibilities:
Business Analysis
Manage outstanding requests related to reports, processes, or supported platforms by working with users to gather information necessary to prioritize, classify, diagnose, resolve and close.",-1,"Independent Search Partners, LLC",Remote,-1,-1,-1,-1,-1,-1
109,Business Analyst,-1,"Designs, produces and analyzes reporting data. Creates and maintains reports for business operations and special projects. Utilizes knowledge of numerous databases, information systems, statistical tools and analytical principles to monitor and analyze information in support of the business. Assists in the implementation, maintenance and improvement of information systems.
Education Level
Bachelor's Level Degree - Experience in lieu of education: Yes
Experience
Required: Related - 2 years

Preferred: None, unless noted in the ""Other"" section below
License
None, unless noted in the ""Other"" section below
Skills
Required: Communication, Complex Problem Solving, Operations Analysis, Project Management, Service Orientation, Technology/Computer, Time Management

Preferred: None, unless noted in the ""Other"" section below",3.7,Sentara Healthcare,"Virginia Beach, VA",10000+ Employees,1888,1888,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
110,Business Operations Analyst,-1,"Ready to work for OS National LLC?
Are you intrigued by the thought of revolutionizing a trillion-dollar industry? Do you want to be part of a cutting-edge company that is customer-obsessed? A company growing at lightning speed that is full of opportunity? If so, we seek smart, customer-focused, and energetic professionals to join our team to help us to the next level of excellence!

Currently, we have a need for a Business Operations Analyst. The Business Operations Associate is a strong, independent self-starter who is passionate about the continuous improvement of operational workflows and processes. You have a knack for identifying process breaks or operational inefficiencies and working either collaboratively or independently to develop creative solutions to solve such breaks. You understand and can execute against the principles of project management, including influencing cross-functional stakeholders as well as managing organizational change.",4.2,OS National,Remote,201 to 500 Employees,2013,2013,Real Estate,Real Estate,Unknown / Non-Applicable
111,BUSINESS INTELLIGENCE ANALYST,-1,"Summary of Major Responsibilities
The Business Intelligence Analyst provides technical expertise, enables data analysis, and supports efforts to make data more accessible. They will work with analyst groups to develop and execute database queries while improving reporting efficiency.
Essential Duties and Responsibilities
Partner with analysts and other users of data to build tables and views for reporting needs.
Coordinate with customers and business analysts to determine business data reporting and analysis requirements.",4.0,Paradigm Diagnostics,"Madison, WI",1 to 50 Employees,Company - Private,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
112,Operations Business Analyst,-1,"Position Summary:
Reporting to the Sr Manager of Community Services, works directly with all of the Federally Qualified Health Centers, Finance & Patient Financial Services (Directors, Managers and Supervisors) to perform data analytics & project management to improve the organization’s adaptability, agility, and ability to manage constant change through innovation to drive high quality patient focused operations. The Operations Business Analyst acts as a non-technical team member and utilizes the processes and tools of the service line to effectively manage projects, activities and initiatives that drive efficiencies for the engagement team and reduce time to deliver services to clients, with a focus on maintaining the highest quality standards.

Key Responsibilities:
Provide support for Grant tracking, vouchering, and reimbursement while maintaining knowledge of Federal compliance requirements.






EDUCATION BS (Required) LICENSES/CERTIFICATIONS Rochester Regional Health is an Equal Opportunity / Affirmative Action Employer. Minority/Female/Disability/Veteran",5.0,Alexander Park,"Rochester, NY",Unknown,Unknown,Unknown,-1,-1,-1
113,CIB - Business Analysis & Reporting Analyst,-1,"The Operational Business Analyst supports the Public Sector Operations with broad focus on effective management of the business Risk environment and Resiliency. Responsibilities will include working with operational areas on the development in self audits, process control flows and monitoring metrics for increased risk. Partnering with Risk and Control Team to perform control assessments, control testing and tracking of action plan completion. A large component of the role includes development of innovated solutions to improve the control environment and to improve operational efficiency.
Specific Responsibilities required for the position include:
Strong interpersonal and influencing skills - ability to interact with colleagues at all levels.
Strong emerging end-to-end problem solving skills, e.g., Demonstrates curiosity.
Perform on-going inspections to identify control gaps/issues in the operations, recommend and assist in implementing action plans to close the noted gaps/issues, and track action plans to completion.



JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.",3.8,"JPMorgan Chase Bank, N.A.","Chicago, IL",10000+ Employees,1799,1799,Banks & Credit Unions,Finance,$10+ billion (USD)
114,Operations Business Analyst,-1,"POSITION PURPOSE
Identify, distinguish and analyze multiple components of a problem and then make conclusions using high-level quantitative skills to help drive projects and bring value to the Home Depot through store operations. Participate in driving operations processes for specific areas of responsibilities and complete project tasks as assigned by managers.

MAJOR TASKS, RESPONSIBILITIES AND KEY ACCOUNTABILITIES
Use strategic thinking to see the big picture, determine the problem and understand fundamental parts of the problem
Prepare and deliver insights and recommendations based on analyses.
Review sales/financial analyses (what sold/did not sell; determine which categories have potential to move upward; cost/benefit analysis; data process modeling/analysis of problems, regression analysis).
NATURE AND SCOPE
Typically reports to Operations Process Manager or Business Manager
No direct responsibility for supervising others.

ENVIRONMENTAL JOB REQUIREMENTS
Environment:
Located in a comfortable indoor area. Any unpleasant condition
Travel:
Typically requires overnight travel less than 10% of the time.MINIMUM QUALIFICATIONS
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Years of Relevant Work Experience: 3 years

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Knowledge, Skills, Abilities and Competencies:",3.8,Home Depot / THD,"Atlanta Central City Post Offi, GA",10000+ Employees,1978,1978,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
115,Business Intelligence Analyst,-1,"Overview:
Be Here. Be Great. Working for a leader in the insurance industry means opportunity for you. Great American Insurance Group’s member companies are subsidiaries of American Financial Group, a Fortune 500 company. We combine a ""small company"" culture where your ideas will be heard with ""big company"" expertise to help you succeed. With over 30 specialty property and casualty operations and a variety of financial services, there are always opportunities here to learn and grow.

Great American Insurance Group is seeking a Senior Business Technology Analyst. This role will help influence and define the strategy, roadmap, and implementation of Great American’s digital experience platforms. This individual will partner with business units, shared services, and technology stakeholders and organizations to identify opportunities to deliver digital experience technology that will enable business transformation and drive efficiency and optimization across the organization and the entire insurance value chain.
Responsibilities:
Qualifications:",4.3,Great American Insurance Group,"Cincinnati, OH",5001 to 10000 Employees,1872,1872,Insurance Carriers,Insurance,$2 to $5 billion (USD)
116,Business Operations Analyst,-1,"Operations Associate
Overview
Varonis is a world-class organization with a straightforward mission: protecting vulnerable data.
Did you know that on average, 20% of an organization's data is accessible to every employee? Seventy percent of attacks take months or years to discover. But not for our customers.
At Varonis, we see the world of cybersecurity differently.
Our customers always know where their most valuable data is – on premises or in the cloud. Only the right people have access to only the right data. With real-time awareness of how employees use data, our clients flag and stop malicious behavior in its tracks.
We’re fighting a different battle than conventional cybersecurity companies, relentlessly focused on securing data. Data assets are the most valuable – and vulnerable – components of the global economy. Along with employees, data is at the heart of almost every organization, yet conventional cybersecurity solutions, by themselves, have failed to protect it.",4.0,Varonis,"New York, NY",1001 to 5000 Employees,2005,2005,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
117,Business Operations Analyst,-1,"Operations Associate
Overview
Varonis is a world-class organization with a straightforward mission: protecting vulnerable data.
Did you know that on average, 20% of an organization's data is accessible to every employee? Seventy percent of attacks take months or years to discover. But not for our customers.
At Varonis, we see the world of cybersecurity differently.
Our customers always know where their most valuable data is – on premises or in the cloud. Only the right people have access to only the right data. With real-time awareness of how employees use data, our clients flag and stop malicious behavior in its tracks.
We’re fighting a different battle than conventional cybersecurity companies, relentlessly focused on securing data. Data assets are the most valuable – and vulnerable – components of the global economy. Along with employees, data is at the heart of almost every organization, yet conventional cybersecurity solutions, by themselves, have failed to protect it.",3.8,Varonis,"New York, NY",10000+ Employees,1799,1799,Banks & Credit Unions,Finance,$10+ billion (USD)
118,Business Analyst,-1,"Work Location: Chicago, IL
Remote for now, require 100% onsite after COVID

Job Description:
Proficient Business Analyst (BA) with experience in government healthcare programs (Medicare Advantage, Medicaid, etc.) systems and processes, developing design solutions and understand cloud computing.
Work at the direction of BCBSA.
Assist with the assessment of existing requirements and document additional requirements for Medicare Advantage Coordination of Care program.",4.3,KMM Technologies,"Chicago, IL",1 to 50 Employees,Company - Private,Company - Private,Business Services,$5 to $10 million (USD),-1
119,Business Intelligence and Reporting Analyst,-1,"Job Description
Full-time position: Business Intelligence and Reporting Analyst

The Office of Institutional Research and Effectiveness (IRE) at Stevens is inviting applications for the position of Business Intelligence and Reporting Analyst to join a team of talented colleagues. Under the supervision of the Executive Director, the analyst will play an important role in managing institutional data and technologies, providing reports and statistical analyses in support of institutional research, planning, and assessment activities. He/she will serve as the IRE data expert, technical adviser, programmer, and hardware/software specialist with a key focus on data mining, analytics, and visualization.
Responsibilities


Institutional Research",4.4,Stevens Institute of Technology,"Hoboken, NJ",501 to 1000 Employees,1870,1870,Colleges & Universities,Education,$100 to $500 million (USD)
120,"Business Operations Analyst, Pricing Operations",-1,"Who You Are
The Business Operations Analyst uses best practices and knowledge of internal or external business issues to improve processes, policies, services, and practices. He/She is responsible for maintaining the pricing, discounting, and incentive data to ensure correct pricing and discounting is applied in the ordering tools. The individual will serve as point of contact for managing, tracking, reporting and resolving issues with the pricing and discounting data. What You'll Do
Perform data analysis using specialized domain knowledge and developed business expertise
Develop and lead business analysis programs, initiatives, and activities
Identify problems that impact ability to deliver, ability to achieve margins, or are areas of inconsistency in the business
Develop recommendations for new business processes and adaption of business tools in support of changes
Cross functional collaboration required to execute on tasks The right candidate should have the ability to:
Solve a range of problems and explain logic or decisions to others
Analyze multiple sources of information and evaluate several alternative solutions before confirming path forward
Exchange ideas, content, and explain information in a clear and effective manner
Understand Cisco business model – know how Cisco sells, the Cisco product portfolio and GTM strategies
Interpret large raw data sets; conduct data analysis and audits – high level of Excel mastery (Macros, Pivots, Formulas and Slicing), ability to work through large data and understand reporting
Use reporting tools, download data, and analyse data
Communicate effectively with excellent communication skills, bold, assertive and possess a sense of ownership of the assigned tasks
Work independently and in a cross functional team environment Eligibility & Qualifications
Bachelor's Degree


2 years of overall analyst experience (mandatory)
1 year of relevant experience (desirable)
Highly organized with strong analytical and problem solving skills
Responsive and timely in delivering on commitments
Knowledgeable in process and change management
Positive attitude and strong work ethic
Knowledge of Cisco products and services (desired) Who You'll Work With
The Business Operations Analyst works with internal Cisco stakeholders to support setup and maintenance of operational ordering setups.

#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",4.3,Cisco Systems,"San Jose, CA",10000+ Employees,1984,1984,Computer Hardware & Software,Information Technology,$10+ billion (USD)
121,Business Process Analyst,-1,"In Finance, we work hand-in-hand with leaders across the company to ensure smooth, disciplined execution of strategic business objectives. Our Accounting team builds scalable, controlled processes and products for Global Accounting, Treasury, and FinTech that enable our business to operate efficiently.
About the Role
This role is responsible for ensuring Uber Freight's Billing process operates as efficiently as possible. The successful candidate will be responsible for implementing all billing processes and controls, ensuring the BPO processes are maintained, invoice submissions are correct, timely, and accurate. In addition to owning Uber's AR onboarding process for new shippers. The role will also work on payment options and collections for large freight customers.",4.0,Uber,"Chicago, IL",10000+ Employees,2009,2009,Internet,Information Technology,$10+ billion (USD)
122,CIB - Business Analysis & Reporting Analyst,-1,"The Operational Business Analyst supports the Public Sector Operations with broad focus on effective management of the business Risk environment and Resiliency. Responsibilities will include working with operational areas on the development in self audits, process control flows and monitoring metrics for increased risk. Partnering with Risk and Control Team to perform control assessments, control testing and tracking of action plan completion. A large component of the role includes development of innovated solutions to improve the control environment and to improve operational efficiency.
Specific Responsibilities required for the position include:
Strong interpersonal and influencing skills - ability to interact with colleagues at all levels.
Strong emerging end-to-end problem solving skills, e.g., Demonstrates curiosity.
Perform on-going inspections to identify control gaps/issues in the operations, recommend and assist in implementing action plans to close the noted gaps/issues, and track action plans to completion.



JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.",3.8,"JPMorgan Chase Bank, N.A.","Chicago, IL",10000+ Employees,1799,1799,Banks & Credit Unions,Finance,$10+ billion (USD)
123,Business Operations Analyst,-1,"ADMINISTRATION
Full-time
Business Operations Analyst
Santa Monica
United States",4.3,Red Bull,"Santa Monica, CA",10000+ Employees,1987,1987,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD)
124,Business Process Analyst,-1,"Business Process Analyst -UND0003N9
Description

Job Summary

Under broad supervision provides process and project support to the business in the development of on-going process and policy assessment evaluation improvement and compliance to support business initiatives and strategies.
Essential Duties & Responsibilities

Assists with the development and compliance of policies and procedures for the business to ensure consistent implementation and improve efficiency cost-effectiveness and/or internal and external customer service. Understands the business needs and consults and partners with business leaders in helping to plan projects and programs.
Participates in the analysis and decision support to help the business deliver on key business priorities. Interacts and collaborates with multiple disciplines to gather information perform analysis and assist with making recommendations to management to drive continuous improvement.
Provides input in defining process performance measures determines data availability advises operational reporting group of required measures and helps with developing methods and tools to track process performance.
Assists with developing process-related training programs including creating workflow job aids training materials and presentations related to internal and external learning opportunities. Evaluates alternatives and external training.
Partners with the appropriate team for building and maintaining centralized processing documentation. Evaluates content for reference library for their area of responsibility. Maintains inventory of business process methodologies and approach. Documents business processes by applying and promoting process modeling best practices.
May assist other business project managers for process improvement projects including assisting IT with setting requirements participating in user acceptance testing and documenting processes.
May work with business partners across organization to improve how operations metrics are gathered stored and analyzed. Helps prepare operations finance and statistical reports using relevant internal and external data.",3.7,CNA Insurance,"Chicago, IL",1001 to 5000 Employees,1897,1897,Insurance Carriers,Insurance,$10+ billion (USD)
125,Business Analyst,-1,"Description
SHIFT: Work From Home
SCHEDULE: Full-time

HCA Healthcare ITG

Please click the link above to Watch our Identity Video to get a closer look at who we are and what we do!
Do you want to be a part of a family and not just another employee? Are you looking for a work environment where diversity and inclusion thrive? Submit your application today and find out what it truly means to be a part of a team.
You contribute to our success. Every role has an impact on our patients’ lives and you have the opportunity to make a difference. We are looking for dedicated professional like you to be a part of our team. Join us in our efforts to better our community!",-1,Strategic Resource Team,"East Nashville, TN",-1,-1,-1,-1,-1,-1
126,Business Analyst I,-1,"Analyzes data to provide performance reporting to Customer Support
leaders (daily/weekly/monthly scorecards, department performance
metrics, etc.). Provides brand leaders performance and trend reports
and makes recommendations on actions needed

Principle Duties and Responsibilities:
Responsible for creating, maintaining and distributing of accurate
contact center metric reporting for our internal team, brand partners,
and other business partners to track performance and metrics against
our pre-determined goals.
Responsible for distribution of accurate reporting from our CRM
platforms requested by our internal team, brand partners and other
business partners to show trends on the types of contacts
etc. required for our internal team, brand partners and other business
partners
trends, etc. and communicating findings to the appropriate parties.
Presents data in a way to easily identify issues and makes
recommendations to mitigate concerns.
oLabor Forecasting
oSchedule building and maintenance
oPTO calendar and request management
opportunity for upcoming training classes of existing associates and
recommendations on hiring new agents based on scheduling needs Requirements Basic Requirements
- 2 -4 Years in the relevant area of expertise

Skills and Abilities:",4.0,Retail Business Services,"Chicago, IL",1001 to 5000 Employees,Company - Public,Company - Public,Retail,Unknown / Non-Applicable,-1
127,Business Analyst,-1,"World Education Services (WES) is a non-profit social enterprise dedicated to helping international students, immigrants, and refugees achieve their educational and career goals in the U.S. and Canada. WES evaluates international educational qualifications, supports the integration of immigrants into the workforce, and provides philanthropic funding to immigrant-serving organizations. Since 1974, WES has provided credential evaluations to nearly three million individuals from more than 200 countries.
Through WES Global Talent Bridge, the organization helps immigrants and refugees who hold international credentials fully utilize their talents and education. Its philanthropic arm, the WES Mariam Assefa Fund, supports inclusive economies that help immigrants and refugees thrive in the United States and Canada.
World Education Services (WES) is seeking an experienced business analyst to help improve our product management function and be the driver for the product’s continued growth & success. As a member of the product team, you will focus on solving organizational problems by analyzing processes, workflows, and systems with the objective of identifying opportunities for either improvement or automation. You will be building the best support for the product managers’ suggestions which are on behalf of the market. Our ideal candidate is comfortable working with all levels of management to gain an in-depth understanding of our strategy and services. From day one, you will have an impact on the efficiency and effectiveness of our daily operations, and a lasting influence on our growth plans.",3.2,World Education Services,"New York, NY",51 to 200 Employees,1974,1974,Colleges & Universities,Education,$25 to $50 million (USD)
128,Business Analyst 2-Ops,-1,"The NACT Operations team is seeking a Junior analyst to help design and innovative rapid business intelligence solutions and analytical insight that support internal business and executive teams with essential information for more informed decisions.

This Junior analyst role will be focused on translating statistical and analytical data in ways that are optimized for our sales leaders and business management teams, spanning the North-America Cloud and Technology business. This role will be responsible for turning complex data into clear and concise information for our Consulting and partner businesses.

1+ years of experience designing and implementing high-performance, simple analytic solutions

Deep experience using Oracle Analytics Cloud or similar for ad-hoc analysis and dashboards

Experience with data visualization methodologies and frameworks

Experience with web technologies is a plus

Proficient in SQL

Experience working with big data

Outstanding written, verbal, and presentation skills with the ability to develop and present conclusions and recommendation to senior executives

Able to work effectively on sometimes ambiguous data and constructs within a fast changing environment, tight deadlines and priority changes

Proven ability to manage multiple projects at a time

Highly motivated and responsible for self-learning

Provides programs to improve operational efficiency, consistency, and compliance in support of the organization's financial and tactical business objectives. Provides business practices and processes. Develops, communicates, and trains the organization on business practices and processes.

Serve as a liaison with other divisions such as Finance, Contracts, HR, Legal, Shared Services, Accounts Receivable, Purchasing, and Risk Management in an effort to ensure accurate and timely transaction processing. Collect, input, verify, correct, and analyze data to measure key performance indicator actual versus business objectives. Provide updates to management regarding budget to actual, informing them of deviations and opportunities. Provide management with economic impact and compliance issues surrounding key business decisions and/or deals. Communicate Oracle Business Practices to the organization and monitor process and approvals for full compliance. Drive implementation of new processes and procedures.

Duties and tasks are standard with some variation. Completes own role largely independently within defined policies and procedures. Attention to detail critical. Ability to collect, organize, and display data in spreadsheet format. Follow-through skills necessary to get information from internal and third parties and have data errors/omissions corrected. Relationship management skills strongly desired. Strong written and verbal communication skills to interact with management and possible clients desired. 2 plus years relevant work experience.If you are a Colorado resident, Please

Contact us

or Email us at oracle-salary-inquiries_us@oracle.com to receive compensation and benefits information for this role. Please include this Job ID: 104321 in the subject line of the email.
Innovation starts with inclusion at Oracle. We are committed to creating a workplace where all kinds of people can be themselves and do their best work. It’s when everyone’s voice is heard and valued, that we are inspired to go beyond what’s been done before. That’s why we need people with diverse backgrounds, beliefs, and abilities to help us create the future, and are proud to be an affirmative-action equal opportunity employer.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status, age, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.",3.7,Oracle,United States,10000+ Employees,1977,1977,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
129,Business Analyst,Employer Provided Salary:$65K - $85K,"Job Description
Works with clients and vendors to research problems, gather requirements, plans solutions, and fulfill ad-hoc data and report requests. This role also recommends applications and systems, coordinates development, assists in testing as well as supports the development of training and implementation material.
Responsibilities:
Business Analysis
Manage outstanding requests related to reports, processes, or supported platforms by working with users to gather information necessary to prioritize, classify, diagnose, resolve and close.",-1,"Independent Search Partners, LLC",Remote,-1,-1,-1,-1,-1,-1
130,Business Analyst,-1,"Work Location: Chicago, IL
Remote for now, require 100% onsite after COVID

Job Description:
Proficient Business Analyst (BA) with experience in government healthcare programs (Medicare Advantage, Medicaid, etc.) systems and processes, developing design solutions and understand cloud computing.
Work at the direction of BCBSA.
Assist with the assessment of existing requirements and document additional requirements for Medicare Advantage Coordination of Care program.",4.3,KMM Technologies,"Chicago, IL",1 to 50 Employees,Company - Private,Company - Private,Business Services,$5 to $10 million (USD),-1
131,Business Analyst,-1,"Work Location: Chicago, IL
Remote for now, require 100% onsite after COVID

Job Description:
Proficient Business Analyst (BA) with experience in government healthcare programs (Medicare Advantage, Medicaid, etc.) systems and processes, developing design solutions and understand cloud computing.
Work at the direction of BCBSA.
Assist with the assessment of existing requirements and document additional requirements for Medicare Advantage Coordination of Care program.",-1,KMM Technologies,"Chicago, IL",501 to 1000 Employees,1957,1957,Banks & Credit Unions,Finance,$50 to $100 million (USD)
132,Business Analyst,-1,"Location: Remote,USA
Tile - Business Analyst for Data Governace
At Wiley, we welcome you for who you are, the background you bring, and embrace individuals who get excited about learning whether online or by book. Learning is for everyone, and so is our workplace. Bring your experiences, your perspectives, and your passion. It is in our differences that we empower the way the world learns.
Wiley is seeking a Business Analyst for our Data Governance efforts to ensure the operational efficiency and excellence of our organization. Be part of an extraordinary opportunity to transform the higher education experience!
As a Business Analyst for Wiley’s Student Experience, you will design and document workflow processes and detailed system development requirements, as well as provide solutions to new business unit ideas, trends, and concepts appropriately through the latest technological paths. The business analyst must understand the customer’s business requirements and apply business process management to meet the customer’s needs.",3.9,Wiley,"Myrtle Point, OR",5001 to 10000 Employees,1807,1807,Publishing,Media,$1 to $2 billion (USD)
133,Business Process Analyst,-1,"Job Overview:
This position will support analytic and business activities within the Supplier Relationship Management department. This role will provide reporting and is responsible for synthesizing analysis with strategy development. This position will provide analytical bandwidth for focus area of support, working with all levels of the organization to ensure root causes are identified and improvement plans are in place.

Job Responsibilities and Accountabilities:
Develops and maintains reporting to support retained income growth and marketing activities.
Manages monthly revenue tracking processes, with key understanding of trends, risks and opportunities. Ability to effectively communicate results to Senior Management. Provides proformas upon request, using analysis to anticipate program performance. Completes miscellaneous financial analyses and reports as requested by Senior Management.",3.1,UNFI,"Providence, RI",10000+ Employees,1978,1978,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD)
134,Business Analyst,Employer Provided Salary:$40 Per Hour,"Summary of Duties: The Business Analyst is responsible for working with Technology Services (TS) and its business partners within one or more business organizations to align technology solutions with business strategies. This role supports one or more highly complex business processes, requiring design or integration of technical solutions or TS process that may cross multiple functions of the business.
EXAMPLES OF ESSENTIAL JOB FUNCTIONS
Management reserves the rights to add, modify, change, or rescind the work assignments of different positions and to make reasonable accommodations so that qualified employees can perform the essential functions of the job.
Establishes and maintains liaison relationship with business partners and TS in order to provide effective technology related solutions.",4.2,"City of Plano, Texas","Plano, TX",1001 to 5000 Employees,Government,Government,Government,Unknown / Non-Applicable,-1
135,Business Intelligence Analyst,-1,"Overview

Provide support for VP of Supplier Insights with day-to-day supplier analytics.

Duties and Responsibilities
Track Regional and State execution of National AOP plan using Business Objects and Compass
Work with Supplier and CIP team to set up and maintain the Supplier Hierarchy (SuperGroup, Group, SubGroup)
Validate Supplier PY Histories annually and CY histories monthly; work with the supplier in a timely manner to reconcile differences
Set up and maintain national tracking and KPI’s based on a specific predetermined formatted tracker in a predetermined format",3.6,Southern Glazer’s Wine and Spirits,"Miami, FL",10000+ Employees,1968,1968,Wholesale,Business Services,$10+ billion (USD)
136,"Sr Analyst, Business Analysis",-1,"Sr Analyst, Business Analysis
At least 18 years of age
Legally authorized to work in the United States
High School Diploma or GED
2+ years of professional experience in analytics, strategy, or management consulting roles
Proficient in SQL and comfortable with efficiently querying large databases (experience with one or more media platforms is a plus)
Ability to structure ambiguous problems in a complex media portfolio and develop data-driven insights
Ability to collaborate with and influence others on business outcomes with fact-based recommendations",4.1,T-Mobile,"Bellevue, WA",10000+ Employees,2001,2001,Telecommunications Services,Telecommunications,$10+ billion (USD)
137,Business Process Analyst II,-1,"Company Overview:
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes. We’re treating cancer, one patient at a time. Join us and make a difference every day.

Job Description:
The Business Process Analyst's role is to plan, develop, and implement business processes for delivering technology services and products both internally and externally to other MSKCC divisions. S/He will use analytical and problem-solving skills to identify and address inefficiencies within these processes, communications skills to document and release new processes that arise from the analysis, and outreach and technical training skills to ensure process alignment with stakeholders.



Closing:",4.0,Memorial Sloan-Kettering Cancer Center,"New York, NY",10000+ Employees,1884,1884,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
138,Business Operations Analyst,-1,"Ready to work for OS National LLC?
Are you intrigued by the thought of revolutionizing a trillion-dollar industry? Do you want to be part of a cutting-edge company that is customer-obsessed? A company growing at lightning speed that is full of opportunity? If so, we seek smart, customer-focused, and energetic professionals to join our team to help us to the next level of excellence!

Currently, we have a need for a Business Operations Analyst. The Business Operations Associate is a strong, independent self-starter who is passionate about the continuous improvement of operational workflows and processes. You have a knack for identifying process breaks or operational inefficiencies and working either collaboratively or independently to develop creative solutions to solve such breaks. You understand and can execute against the principles of project management, including influencing cross-functional stakeholders as well as managing organizational change.",4.2,OS National,Remote,201 to 500 Employees,2013,2013,Real Estate,Real Estate,Unknown / Non-Applicable
139,BUSINESS INTELLIGENCE ANALYST,-1,"Summary of Major Responsibilities
The Business Intelligence Analyst provides technical expertise, enables data analysis, and supports efforts to make data more accessible. They will work with analyst groups to develop and execute database queries while improving reporting efficiency.
Essential Duties and Responsibilities
Partner with analysts and other users of data to build tables and views for reporting needs.
Coordinate with customers and business analysts to determine business data reporting and analysis requirements.",4.0,Paradigm Diagnostics,"Madison, WI",1 to 50 Employees,Company - Private,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
140,Business Process Analyst,-1,"Description
Job Description:
The NISC IV program at Leidos is seeking a Business Process Analyst to support the Federal Aviation Administration (FAA) Western Service Center (WSC) Planning & Requirements Group (PRG) with Program/Project Analytical support.
We are seeking a talented and energetic candidate to work with the best and brightest employees around the country in creating innovative all-encompassing solutions for our programs. You will work in a fast-paced and diverse environment, enjoy flexible work arrangements, and will have a management team that encourages your career development and growth.
Eligible
$2000
No
None
Yes, 10% of the time
40
Day
Professional
Business Process",3.9,Leidos,"Seattle, WA",10000+ Employees,1969,1969,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
